ID,area_name,polygon
1,Mirpur,"POLYGON ((90.375316 23.790096, 90.372612 23.786739, 90.372527 23.786543, 90.372248 23.785649, 90.371861 23.784795, 90.37051 23.783784, 90.369651 23.783234, 90.368922 23.783067, 90.368224 23.783087, 90.36728 23.783214, 90.366712 23.783077, 90.365639 23.782537, 90.365381 23.78235, 90.365124 23.782449, 90.364974 23.783028, 90.364609 23.783067, 90.364201 23.783401, 90.363257 23.783283, 90.362903 23.783371, 90.36242 23.783597, 90.362141 23.783784, 90.361862 23.784127, 90.360897 23.784422, 90.360425 23.784815, 90.359609 23.785247, 90.357592 23.785207, 90.353987 23.785011, 90.352485 23.782851, 90.349932 23.783852, 90.349138 23.78507, 90.347528 23.785031, 90.347228 23.782419, 90.347013 23.782321, 90.347078 23.779965, 90.345941 23.779297, 90.34519 23.778551, 90.344567 23.778747, 90.342422 23.778256, 90.3378 23.77774, 90.337756 23.777944, 90.338066 23.779277, 90.337808 23.780122, 90.336735 23.780966, 90.336027 23.781653, 90.335641 23.783008, 90.335619 23.783617, 90.335941 23.784226, 90.336794 23.784064, 90.336853 23.784251, 90.336973 23.784524, 90.337081 23.784764, 90.337199 23.784996, 90.337235 23.785066, 90.337315 23.785189, 90.337447 23.785355, 90.337688 23.785557, 90.337844 23.785696, 90.339262 23.788013, 90.33934 23.788374, 90.339384 23.78851, 90.339489 23.788784, 90.339591 23.789006, 90.33964 23.789124, 90.339672 23.789198, 90.339768 23.789427, 90.339805 23.789507, 90.33991 23.789725, 90.340305 23.791404, 90.340323 23.792437, 90.340281 23.792902, 90.340293 23.793045, 90.340348 23.793471, 90.340421 23.793935, 90.340726 23.7974, 90.344014 23.802082, 90.342467 23.806187, 90.341789 23.807742, 90.341754 23.807791, 90.341707 23.807855, 90.341647 23.807955, 90.3416 23.80803, 90.341539 23.808122, 90.341502 23.808176, 90.341389 23.808361, 90.341113 23.808846, 90.340683 23.810424, 90.340571 23.812842, 90.340883 23.813885, 90.341021 23.814501, 90.339097 23.819046, 90.341142 23.821166, 90.341377 23.821313, 90.341508 23.820806, 90.341652 23.819128, 90.343006 23.815214, 90.343029 23.815217, 90.343029 23.815217, 90.343029 23.815217, 90.343029 23.815217, 90.343029 23.815217, 90.343029 23.815217, 90.343029 23.815217, 90.343029 23.815217, 90.343029 23.815217, 90.343029 23.815217, 90.343029 23.815217, 90.343029 23.815217, 90.343029 23.815217, 90.341703 23.819093, 90.341434 23.821282, 90.341563 23.822057, 90.342422 23.82351, 90.345332 23.827366, 90.347486 23.831047, 90.35079 23.839919, 90.355468 23.842981, 90.356455 23.847848, 90.358086 23.848712, 90.36418 23.844237, 90.367012 23.840075, 90.36978 23.839252, 90.373557 23.839507, 90.374737 23.840567, 90.375531 23.840861, 90.378063 23.839369, 90.377054 23.838427, 90.380917 23.839173, 90.382204 23.834306, 90.383492 23.830262, 90.386667 23.819977, 90.390015 23.816404, 90.392847 23.815972, 90.390959 23.812595, 90.392718 23.811771, 90.389929 23.807727, 90.390573 23.806549, 90.389392 23.804821, 90.38995 23.804232, 90.391667 23.803663, 90.391324 23.799953, 90.389671 23.799638, 90.389929 23.796772, 90.388684 23.796929, 90.387547 23.797027, 90.384865 23.79795, 90.381432 23.799717, 90.378428 23.801484, 90.376325 23.801013, 90.37684 23.799049, 90.376582 23.798186, 90.377312 23.796576, 90.379114 23.794416, 90.379543 23.793434, 90.378985 23.790528, 90.375316 23.790096))"
2,Gulshan,"POLYGON ((90.417309 23.773406, 90.41718 23.772738, 90.416493 23.772267, 90.415142 23.772346, 90.411944 23.771403, 90.411365 23.771295, 90.411032 23.770588, 90.410829 23.770225, 90.410314 23.770117, 90.408844 23.770353, 90.405947 23.770863, 90.40629 23.772886, 90.406891 23.773239, 90.410163 23.773632, 90.410753 23.773868, 90.411032 23.77483, 90.411741 23.775625, 90.411665 23.776607, 90.41085 23.778394, 90.411569 23.778816, 90.411816 23.781506, 90.41306 23.78239, 90.413994 23.783538, 90.414745 23.78561, 90.413704 23.787996, 90.412846 23.78938, 90.41217 23.789831, 90.410839 23.791216, 90.409874 23.793434, 90.409563 23.797096, 90.40894 23.797204, 90.408189 23.797557, 90.407846 23.79797, 90.407878 23.800807, 90.406505 23.800954, 90.406677 23.803751, 90.406687 23.803928, 90.406795 23.805116, 90.40879 23.805037, 90.410292 23.804488, 90.412009 23.804566, 90.412352 23.805096, 90.415528 23.806392, 90.416965 23.802308, 90.41718 23.799442, 90.41703 23.797498, 90.420012 23.794259, 90.421536 23.792551, 90.422201 23.791569, 90.421622 23.78993, 90.421021 23.787495, 90.420613 23.786493, 90.420388 23.786209, 90.42027 23.785374, 90.420098 23.784785, 90.419422 23.783725, 90.419079 23.781251, 90.419326 23.778649, 90.4188 23.776538, 90.418103 23.775065, 90.417309 23.773406))"
3,Cantonment,"POLYGON ((90.384226 23.783126, 90.384827 23.783097, 90.385273 23.783077, 90.38664 23.783038, 90.388738 23.785345, 90.388169 23.789517, 90.387976 23.791098, 90.388148 23.793807, 90.387633 23.796949, 90.3901 23.796693, 90.389714 23.799619, 90.391517 23.799834, 90.391678 23.803663, 90.389972 23.804232, 90.389403 23.804772, 90.390766 23.806608, 90.390122 23.807766, 90.392504 23.811005, 90.393233 23.81185, 90.394263 23.811909, 90.395658 23.811143, 90.396044 23.811496, 90.394735 23.814519, 90.394971 23.815481, 90.3951 23.816051, 90.390143 23.816717, 90.387912 23.819348, 90.386624 23.820526, 90.384994 23.826494, 90.381002 23.83937, 90.387654 23.838113, 90.387783 23.839154, 90.387483 23.843138, 90.387526 23.844315, 90.388598 23.845022, 90.3901 23.845414, 90.39259 23.844943, 90.400615 23.831361, 90.406408 23.830027, 90.411987 23.826925, 90.413833 23.824884, 90.41409 23.82351, 90.415206 23.822136, 90.415978 23.82139, 90.416837 23.820173, 90.414391 23.818838, 90.412219 23.817608, 90.410339 23.81581, 90.40865 23.815929, 90.406623 23.814029, 90.406277 23.810483, 90.406709 23.808316, 90.406752 23.806156, 90.40643 23.800699, 90.401044 23.80064, 90.400379 23.796929, 90.397654 23.796301, 90.397224 23.790371, 90.399692 23.79045, 90.39922 23.787897, 90.398855 23.78562, 90.393695 23.78506, 90.391506 23.784638, 90.391066 23.783794, 90.392032 23.783558, 90.39216 23.782282, 90.39304 23.781634, 90.393083 23.78077, 90.392514 23.779955, 90.3926 23.779238, 90.392804 23.778394, 90.393212 23.777559, 90.394135 23.7775, 90.394102 23.776646, 90.393151 23.776062, 90.392953 23.775943, 90.392728 23.775889, 90.392642 23.775868, 90.39241 23.775814, 90.392364 23.775806, 90.392254 23.775798, 90.392161 23.775789, 90.392122 23.775788, 90.391184 23.775596, 90.390476 23.775497, 90.389897 23.775399, 90.38983 23.775638, 90.38931 23.77827, 90.389287 23.778551, 90.387268 23.778767, 90.384226 23.783126))"
4,Banani,"POLYGON ((90.39936482906342 23.785442981497955, 90.39906978607176 23.785467525375548, 90.39931654930115 23.78704323261855, 90.39947479963303 23.787902255002024, 90.39955794811249 23.788481478318907, 90.39979426574932 23.78848110033284, 90.39979442938733 23.78848116811395, 90.39979451120632 23.78848120200449, 90.39979455211584 23.788481218949773, 90.39979457257058 23.788481227422402, 90.39979458279797 23.78848123165871, 90.39979458791167 23.78848123377687, 90.39979459046852 23.788481234835956, 90.39979459302535 23.78848123589503, 90.39979467484439 23.78848126978557, 90.3997947157539 23.788481286730853, 90.39979473620865 23.788481295203482, 90.39979475666337 23.78848130367611, 90.39961159229279 23.78865328134875, 90.39961159229279 23.788908531145193, 90.39981007575989 23.790032606014957, 90.39989913323622 23.7905562584204, 90.39989820125788 23.790556644458466, 90.39996027946472 23.79141191604283, 90.3969669342041 23.791539538294835, 90.39716005325317 23.793218250096707, 90.39726734161377 23.794769321258045, 90.39779305458069 23.79607004704056, 90.39850652217864 23.796369457546863, 90.3993970155716 23.796644325600933, 90.40045917034148 23.796811209492915, 90.40151596069336 23.796830842877885, 90.40169835090637 23.797940124309097, 90.40179491043091 23.79849966975594, 90.402170419693 23.800531682952947, 90.40718251340121 23.80020262098586, 90.40718321379238 23.800200084734193, 90.40739745523744 23.799371206550042, 90.40739917745111 23.799339885353728, 90.40722319095039 23.79792362057847, 90.40728923534317 23.797670751827702, 90.40728962869115 23.797670588897645, 90.40728972702816 23.79767054816512, 90.40728977619666 23.797670527798857, 90.40728980078092 23.797670517615728, 90.40728982536513 23.79767050743261, 90.40728992370211 23.797670466700083, 90.40728997287061 23.797670446333836, 90.40729002203913 23.797670425967574, 90.40729021871309 23.79767034450255, 90.4072903170501 23.797670303770026, 90.40729036621862 23.79767028340375, 90.40729039080287 23.797670273220646, 90.40729040309496 23.79767026812906, 90.407290409241 23.797670265583307, 90.40729041231407 23.797670264310423, 90.40729041538708 23.797670263037514, 90.40729061206108 23.797670181572467, 90.40729071039806 23.797670140839955, 90.40729073498228 23.797670130656822, 90.4072907472744 23.79767012556525, 90.40729075342048 23.797670123019486, 90.40729075649351 23.797670121746602, 90.40729075956654 23.797670120473693, 90.40729080873503 23.797670100107453, 90.40745705366135 23.79769839011403, 90.40806360286112 23.79717552696123, 90.40852851035864 23.797019313469256, 90.40855211210314 23.79700663433999, 90.4087505955704 23.796852021487283, 90.4087719132616 23.79682671059317, 90.40901331207294 23.796375141843374, 90.40902123222322 23.796352927642417, 90.40917411813707 23.79557494953915, 90.40917530879074 23.795566550418254, 90.40927070109508 23.794480356205884, 90.40973197499096 23.793445201221136, 90.40973875502142 23.793408314861935, 90.40971830317726 23.79304109905764, 90.40971802256993 23.793037516774863, 90.40961609724778 23.792028851514743, 90.4098469018936 23.79086215721686, 90.41107535362242 23.790336939023494, 90.41138648986816 23.790189681205124, 90.4114294052124 23.79007678343137, 90.4115742444992 23.789708637835698, 90.41254520416258 23.788329309731402, 90.40913176915676 23.788570054812837, 90.40877589818314 23.788625757370074, 90.40875725448133 23.78861803489593, 90.40871596178782 23.788635138889607, 90.40828933723259 23.788701916121997, 90.40816136443652 23.788717331224227, 90.40814235806467 23.78870945852723, 90.40810776445933 23.78872378766773, 90.40799449925133 23.788737431151457, 90.40797807276248 23.78873062707699, 90.40794817481685 23.788743011211555, 90.40772833009596 23.788769492846335, 90.40771152824163 23.788762533290395, 90.40768094709117 23.78877520041767, 90.40728930152493 23.788822376509987, 90.40725225198042 23.788803986634193, 90.40713949513659 23.788803986634193, 90.40703985302358 23.788839420624278, 90.40703801053537 23.788834972464258, 90.40698163211346 23.788811619757276, 90.40673831442888 23.788860023908097, 90.40555231593461 23.78869594267513, 90.40494346521285 23.78751353455637, 90.40460632311584 23.786553851856045, 90.40460508857161 23.786550570281165, 90.40452797506244 23.78635851595924, 90.40451469550848 23.786336539279336, 90.40310382843018 23.78626765324725, 90.40277595351458 23.784294180479083, 90.4027738244552 23.784291779275506, 90.40246944825421 23.783962107525124, 90.40226740740657 23.782963260653876, 90.40225399235165 23.78289406950444, 90.40225551523991 23.78289039292691, 90.40225131215213 23.78288024577537, 90.40224793927362 23.7828628493993, 90.40215969085693 23.782826577570486, 90.40205776691437 23.782424049215777, 90.39974570274353 23.782649857958468, 90.39910197257996 23.78272349115933, 90.39933893833822 23.785060910055883, 90.39936482906342 23.785442981497955))"
5,Mohakhali,"POLYGON ((90.406891 23.773229, 90.406194 23.772915, 90.406001 23.771639, 90.402975 23.772189, 90.402406 23.772169, 90.401398 23.771325, 90.400915 23.772356, 90.400121 23.773416, 90.399821 23.773769, 90.399467 23.774427, 90.398716 23.776234, 90.398297 23.777333, 90.398158 23.777785, 90.398093 23.778168, 90.39789 23.778649, 90.394242 23.776705, 90.39421 23.777579, 90.393265 23.777638, 90.392815 23.77859, 90.392729 23.779366, 90.392826 23.779758, 90.393083 23.780338, 90.393405 23.781015, 90.393298 23.781663, 90.392815 23.782346, 90.392332 23.783028, 90.39216 23.783627, 90.391141 23.78397, 90.391216 23.784903, 90.392847 23.784589, 90.394156 23.784824, 90.397182 23.785482, 90.399284 23.78534, 90.398802 23.782674, 90.399939 23.782586, 90.402117 23.782341, 90.402396 23.783381, 90.402455 23.783745, 90.402498 23.783921, 90.402653 23.784093, 90.40283 23.784285, 90.402884 23.784608, 90.402948 23.785148, 90.404327 23.784972, 90.404402 23.783862, 90.406172 23.783627, 90.406923 23.783195, 90.407588 23.782301, 90.409552 23.782164, 90.411065 23.780524, 90.411547 23.778806, 90.410786 23.778413, 90.411644 23.776548, 90.41173 23.775664, 90.411022 23.774869, 90.410829 23.774142, 90.410764 23.773868, 90.410067 23.773632, 90.407685 23.773367, 90.406891 23.773229))"
